ic,beta,backend,t_final,lam_N,lam_T,ratio,d_rep,energy_ok,verdict
Burrau,0.05,yukawa_feynman,1.5,4.415750,1.876447,0.424944,,True,SUPPRESS
Burrau,0.12,yukawa_feynman,1.5,4.415750,2.417457,0.547462,,True,SUPPRESS
Burrau,0.35,yukawa_feynman,1.5,4.415750,2.684294,0.607891,,True,SUPPRESS
Burrau,1.0,yukawa_feynman,1.5,4.415750,4.773110,1.080928,,True,COMPARABLE
Equilateral,0.05,yukawa_feynman,1.5,3.851723,4.831084,1.254266,,True,ENHANCE
Equilateral,0.12,yukawa_feynman,1.5,3.851723,4.686966,1.216849,,True,ENHANCE
Equilateral,0.35,yukawa_feynman,1.5,3.851723,9.286309,2.410949,,False,ENHANCE
Equilateral,1.0,yukawa_feynman,1.5,3.851723,9.615269,2.496355,,False,ENHANCE
Burrau,0.05,pairwise,1.5,4.415750,3.381547,0.765792,,True,SUPPRESS
Burrau,0.12,pairwise,1.5,4.415750,3.915135,0.886630,,True,SUPPRESS
Burrau,0.35,pairwise,1.5,4.415750,2.499107,0.565953,,True,SUPPRESS
Burrau,1.0,pairwise,1.5,4.415750,4.920734,1.114360,,True,ENHANCE
Equilateral,0.05,pairwise,1.5,3.851723,5.326442,1.382873,,False,ENHANCE
Equilateral,0.12,pairwise,1.5,3.851723,5.542030,1.438845,,False,ENHANCE
Equilateral,0.35,pairwise,1.5,3.851723,7.477550,1.941352,,False,ENHANCE
Equilateral,1.0,pairwise,1.5,3.851723,9.875455,2.563906,,False,ENHANCE
